"","LGA","p_test","se","Number of Participants"
"574","Song",0.227906979659544,0.0271657523708109,19
"575","Southern Ijaw",0.193866376380855,0.0379455791370865,10
"576","Sule-Tankarkar",0.307692307692308,1.38777878078144e-17,20
"577","Suleja",0.25,0,5
"578","Sumaila",0,0,7
"579","Suru",0.555555555555556,0,11
"580","Surulere1",0.0858676457598211,0.0734498979685914,8
"581","Surulere2",0.5,0,7
"582","Tafa",0.555555555555556,5.55111512312578e-17,11
"583","Tafawa-Balewa",0.25,0,6
"584","Tai",0.05943151832179,0.0502378474596352,12
"585","Takali",0.173549955625859,0.0991017018467737,27
"586","Takum",0.459610058897934,0.095680966260896,8
