LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Ilaje,Ondo,1,0.242424242,0.242424242,0.242424242,0.242424242
Ile-Oluji-Okeigbo,Ondo,1,0.952380952,0.952380952,0.952380952,0.952380952
Ilemeji,Ekiti,1,0.80952381,0.80952381,0.80952381,0.80952381
Ilesha East,Osun,1,0.833333333,0.833333333,0.833333333,0.833333333
Ilesha West,Osun,1,0.807237311,0.665272942,0.949201681,0.807237311
Illela,Sokoto,0,0.169654602,0.093359668,0.245949536,0.169654602
Ilorin East,Kwara,0,0.853017673,0.771563227,0.93447212,0.853017673
Ilorin South,Kwara,0,0.477509801,0.352081324,0.602938279,0.477509801
Ilorin West,Kwara,0,0.649256898,0.520023908,0.778489888,0.649256898
Imeko-Afon,Ogun,1,0.238095238,0.238095238,0.238095238,0.238095238
Ingawa,Katsina,0,0.043478261,0.043478261,0.043478261,0.043478261
Ini,Akwa lbom,1,0.515151515,0.515151515,0.515151515,0.515151515
Ipokia,Ogun,1,0.333333333,0.333333333,0.333333333,0.333333333
Irele,Ondo,1,0.666666667,0.666666667,0.666666667,0.666666667
Irepo,Oyo,0,0.461438899,0.389480681,0.533397116,0.461438899
Irepodun/Ifelodun,Ekiti,1,1,1,1,1
Irepodun1,Kwara,0,0.412819771,0.213306595,0.612332946,0.412819771
Irepodun2,Osun,1,0.566666667,0.566666667,0.566666667,0.566666667
Irewole,Osun,1,0.664291333,0.453041771,0.875540895,0.664291333
Isa,Sokoto,0,0.142857143,0.142857143,0.142857143,0.142857143
Ise/Orun,Ekiti,1,0.769414534,0.613265327,0.925563741,0.769414534
Iseyin,Oyo,1,0.417430906,0.319491627,0.515370185,0.417430906
Ishielu,Ebonyi,1,0.715667128,0.601908723,0.829425533,0.715667128
Isi-Uzo,Enugu,1,0.699751764,0.6351763,0.764327228,0.699751764
Isiala-Ngwa North,Abia,1,0.675561207,0.57410738,0.777015034,0.675561207
Isiala-Ngwa South,Abia,1,0.629484635,0.528952771,0.730016499,0.629484635
Isiala Mbano,Imo,1,0.598755424,0.426567729,0.77094312,0.598755424
Isin,Kwara,0,0.703374154,0.526205259,0.880543049,0.703374154
Isokan,Osun,1,0.690059784,0.627073618,0.753045949,0.690059784
Isoko North,Delta,1,0.8,0.8,0.8,0.8
Isoko South,Delta,1,0.614640552,0.594225383,0.63505572,0.614640552
