LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Jega,Birnin Kebbi,,0.566772845,0.566772845,0,-1,2018
Jema'a,Soba,,0.13917526,0.13917526,0,-1,2018
Jere,Gawabawa,,0.5,0.5,0,-1,2018
Jibia,Rimi,,0.333333333,0.333333333,0,-1,2018
Jos East,Soba,,0.5,0.5,0,-1,2018
Jos North,Soba,,0.10462622,0.10462622,0,-1,2018
Jos South,Soba,,0.02049469,0.02049469,0,-1,2018
Kabba-Bunu,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Kabo,Gwarzo,,0.328669685,0.328669685,0,-1,2018
Kachia,Ngor-Okpala,,0.026107845,0.026107845,0,-1,2018
Kaduna North,Soba,,0.065737057,0.065737057,0,-1,2018
Kaduna South,Soba,,0.02049469,0.02049469,0,-1,2018
Kafin Hausa,Taura,,0.41906863,0.41906863,0,-1,2018
Kafur,Gwarzo,,0.204678348,0.204678348,0,-1,2018
Kaga,Darazo,,0.114371076,0.114371076,0,-1,2018
Kagarko,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Kaiama,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Kaita,Rimi,,0.153846154,0.153846154,0,-1,2018
Kajola,Akinyele,,0.154926235,0.154926235,0,-1,2018
Kajuru,Soba,,0.02049469,0.02049469,0,-1,2018
Kala-Balge,Darazo,,0.114371076,0.114371076,0,-1,2018
Kalgo,Birnin Kebbi,,0.528194641,0.528194641,0,-1,2018
